ItemNum,AccNum,Rbis
9.0,VE310796,0.34
6.0,VE310006,0.4
8.0,VE336202,0.64
6.0,VC474372,0.75
3.0,VF005819,0.36
9.0,VE501106,0.2
5.0,VE083140,0.4
10.0,VH004321,0.41
9.0,VC390202,0.45
6.0,VF562738,0.62
8.0,VE070081,0.14
1.0,VE600805,0.34
4.0,VE509111,0.51
5.0,VE310401,0.62
3.0,VC476376,0.28
4.0,VF523701,0.61
2.0,VE648068,0.63
1.0,VC464644,0.55
1.0,VF091808,0.39
9.0,VE629931,0.49
10.0,VE090668,0.46
9.0,VE636813,0.37
1.0,VC479160,0.55
5.0,VE336225,0.58
6.0,VE392670,0.51
8.0,VF089023,0.39
2.0,VF441895,0.28
8.0,VE868303,0.54
2.0,VC375141,0.42
1.0,VC395347,0.58
10.0,VE094645,0.51
8.0,VE646656,0.48
5.0,VC375933,0.43
4.0,VE111487,0.23
4.0,VE337348,0.36
1.0,VC506392,0.43
7.0,VE072174,0.55
7.0,VE801961,0.43
9.0,VE106673,0.51
6.0,VE856542,0.39
2.0,VE835987,0.39
6.0,VF564423,0.4
9.0,VE336197,0.37
6.0,VE309488,0.54
1.0,VC375291,0.41
2.0,VC344537,0.39
4.0,VE611181,0.66
6.0,VE454655,0.54
5.0,VC470441,0.28
10.0,VE636607,0.4
9.0,VC504055,0.47
7.0,VE749779,0.56
4.0,VC479158,0.66
4.0,VC503915,0.47
7.0,VE835921,0.65
2.0,VC361356,0.45
4.0,VC516901,0.56
2.0,VE337350,0.51
6.0,VE501338,0.17
9.0,VE085217,0.31
1.0,VC361134,0.62
4.0,VE646427,0.43
9.0,VF687035,0.49
3.0,VC461316,0.61
3.0,VE310298,0.42
4.0,VE111465,0.64
10.0,VF671336,0.51
1.0,VC382319,0.61
8.0,VF095564,0.39
3.0,VC383002,0.54
9.0,VE802754,0.38
7.0,VC497210,0.22
8.0,VE310292,0.48
10.0,VE335631,0.55
6.0,VE310413,0.31
1.0,VC344791,0.66
5.0,VE868306,0.22
8.0,VE120328,0.65
8.0,VC497377,0.53
3.0,VC505749,0.45
1.0,VF095567,0.35
5.0,VC506378,0.54
2.0,VF004940,0.48
7.0,VH014517,0.08
7.0,VE646441,0.43
3.0,VF646511,0.46
7.0,VE647375,0.44
5.0,VC389312,0.27
1.0,VE899158,0.47
9.0,VC456517,0.63
3.0,VE590440,0.38
4.0,VE595326,0.23
1.0,VF005823,0.38
7.0,VE586940,0.29
5.0,VE085194,0.59
2.0,VC493932,0.5
8.0,VF239795,0.52
2.0,VF091683,0.26
6.0,VE629363,0.45
6.0,VC504056,0.55
10.0,VE077522,0.58
3.0,VE646796,0.5
10.0,VC503942,0.56
6.0,VF650861,0.51
4.0,VF641050,0.18
9.0,VF643332,0.37
2.0,VC390360,0.5
4.0,VE106735,0.56
7.0,VE646711,0.52
9.0,VE070267,0.43
2.0,VC344462,0.59
4.0,VE070147,0.45
8.0,VE070590,0.51
9.0,VF563989,0.38
8.0,VE646746,0.55
10.0,VC472854,0.49
2.0,VF308794,0.53
6.0,VE310412,0.55
7.0,VE392661,0.55
6.0,VC390362,0.63
8.0,VC476353,0.43
6.0,VE647295,0.57
7.0,VF355283,0.54
5.0,VE955108,0.49
5.0,VE801919,0.61
5.0,VE083119,0.56
4.0,VE070592,0.59
8.0,VF656675,0.57
9.0,VE868643,0.15
10.0,VC473667,0.28
5.0,VE647537,0.45
6.0,VE501127,0.24
2.0,VF467708,0.53
1.0,VC332828,0.67
6.0,VE801987,0.52
3.0,VC506418,0.54
8.0,VE590475,0.45
5.0,VC382313,0.44
9.0,VE392640,0.47
9.0,VE868308,0.47
6.0,VF086605,0.6
2.0,VC361547,0.41
7.0,VE632883,0.52
8.0,VF387647,0.49
6.0,VE653621,0.67
5.0,VE518292,0.59
2.0,VE070049,0.33
10.0,VE392687,0.36
2.0,VE898288,0.59
5.0,VE625446,0.31
2.0,VC344480,0.59
3.0,VF095568,0.54
8.0,VE392702,0.43
6.0,VC461323,0.56
2.0,VE956475,0.56
1.0,VF798571,0.29
3.0,VC375232,0.4
4.0,VE312787,0.61
9.0,VE832190,0.48
8.0,VE801932,0.56
4.0,VE309977,0.56
10.0,VF005036,0.45
2.0,VC493953,0.66
8.0,VE109016,0.56
9.0,VF086581,0.54
7.0,VE097608,0.4
9.0,VF640601,0.23
7.0,VE459416,0.28
8.0,VE510784,0.66
6.0,VE083146,0.38
9.0,VF648615,0.38
2.0,VE518264,0.45
4.0,VC478193,0.51
2.0,VC390365,0.32
5.0,VE090126,0.29
10.0,VE501085,0.37
7.0,VC477598,0.52
6.0,VC381852,0.53
10.0,VE647370,0.57
7.0,VE636828,0.44
9.0,VE600825,0.38
1.0,VC461317,0.4
4.0,VF420658,0.5
8.0,VC464284,0.4
8.0,VF523734,0.39
9.0,VE077517,0.31
2.0,VC382315,0.7
4.0,VE646719,0.45
3.0,VC331887,0.45
8.0,VF579962,0.57
10.0,VE083188,0.31
3.0,VC517377,0.36
8.0,VF650860,0.27
1.0,VF407934,0.55
7.0,VE070346,0.32
3.0,VF095566,0.52
9.0,VE612066,0.3
1.0,VC361110,0.42
9.0,VC383242,0.42
1.0,VC273415,0.66
1.0,VF205113,0.5
9.0,VE631427,0.31
10.0,VF407731,0.53
3.0,VF091809,0.59
7.0,VE518299,0.62
2.0,VC517227,0.48
10.0,VE454317,0.42
4.0,VF469012,0.46
3.0,VC456512,0.37
1.0,VC361173,0.4
5.0,VC472874,0.34
2.0,VC390235,0.59
6.0,VF079050,0.51
7.0,VE312781,0.13
10.0,VE070243,0.66
7.0,VE653616,0.59
4.0,VE802592,0.61
9.0,VE309795,0.47
10.0,VE501335,0.43
1.0,VE611988,0.31
1.0,VF355270,0.46
3.0,VC331625,0.59
9.0,VC395365,0.06
3.0,VF644273,0.28
9.0,VC461302,0.23
3.0,VC461298,0.2
2.0,VE636562,0.43
6.0,VC361330,0.72
10.0,VE606134,0.59
2.0,VF643346,0.39
7.0,VE336187,0.52
9.0,VE647372,0.56
3.0,VE646781,0.62
5.0,VE646815,0.17
10.0,VC376932,0.29
5.0,VF557531,0.33
8.0,VC318847,0.35
7.0,VF580076,0.5
10.0,VE509109,0.48
2.0,VF241485,0.31
4.0,VE310372,0.42
4.0,VE097521,0.55
6.0,VC395655,0.63
7.0,VE899184,0.27
3.0,VC344509,0.63
3.0,VE636833,0.61
2.0,VE508954,0.48
8.0,VE103093,0.51
7.0,VC344114,0.3
9.0,VE392734,0.52
9.0,VC497032,0.16
5.0,VE509797,0.27
3.0,VE868391,0.23
5.0,VC470482,0.37
1.0,VC381988,0.57
7.0,VC390361,0.36
7.0,VC382121,0.54
3.0,VF091811,0.41
1.0,VF648612,0.46
9.0,VE094633,0.58
5.0,VE611201,0.4
7.0,VE648069,0.24
9.0,VF087528,0.41
5.0,VE595340,0.47
1.0,VC383392,0.67
4.0,VC473653,0.47
5.0,VF579927,0.22
8.0,VC390262,0.48
4.0,VC473732,0.53
5.0,VF640799,0.51
8.0,VE077501,0.42
10.0,VC395463,0.34
8.0,VE635261,0.57
9.0,VE120331,0.46
6.0,VF080534,0.13
3.0,VF387646,0.37
5.0,VE509112,0.38
5.0,VE646811,0.47
2.0,VF686530,0.49
2.0,VE832136,0.59
8.0,VF907078,0.49
10.0,VF671281,0.1
7.0,VE590369,0.5
8.0,VC503935,0.46
5.0,VC344527,0.33
5.0,VE611981,0.45
1.0,VF443229,0.58
2.0,VC473647,0.36
10.0,VF417697,0.35
6.0,VE070617,0.37
3.0,VE310410,0.52
4.0,VE801927,0.48
2.0,VC477609,0.69
6.0,VC355287,0.55
4.0,VF308793,0.47
7.0,VC375132,0.42
2.0,VF562611,0.47
8.0,VE637206,0.53
2.0,VF523742,0.49
4.0,VC470492,0.59
2.0,VE832200,0.4
3.0,VE510246,0.51
4.0,VE615709,0.58
7.0,VH000774,0.34
5.0,VC470519,0.46
7.0,VC470477,0.55
2.0,VF005037,0.56
10.0,VE090698,0.52
6.0,VF310717,0.49
7.0,VE801959,0.62
7.0,VF690540,0.42
6.0,VE068137,0.57
5.0,VE106677,0.51
8.0,VE106642,0.34
8.0,VE454643,0.54
9.0,VE109020,0.34
4.0,VC389219,0.31
4.0,VC398318,0.46
4.0,VF388264,0.35
6.0,VF687702,0.56
6.0,VE103098,0.34
6.0,VE454471,0.38
4.0,VE392705,0.39
7.0,VC395360,0.4
8.0,VE309994,0.51
1.0,VC389639,0.4
9.0,VE501245,0.13
7.0,VE635195,0.48
1.0,VE501332,0.47
8.0,VF671319,0.48
10.0,VE509113,0.5
7.0,VE509796,0.32
3.0,VE752338,0.41
2.0,VF205111,0.67
10.0,VE510689,0.52
